Name,Number Assigned
Electrical and Computer Engineering,30.0
Materials Science and Engineering,24.0
Chemical and Biomolecular Engineering,24.0
Industrial and Systems Engineering,21.0
Mechanical Engineering,26.0
Bioengineering,20.0
Computer Science and Engineering,30.0
Civil and Environmental Engineering,36.0
