Name,Max Capacity,Min Capacity,Even Numbered
Electrical and Computer Engineering,30,20,1
Materials Science and Engineering,24,20,0
Chemical and Biomolecular Engineering,24,20,0
Industrial and Systems Engineering,36,25,0
Mechanical Engineering,26,21,0
Bioengineering,25,20,0
Computer Science and Engineering,44,25,0
Civil and Environmental Engineering,36,24,0
